id,name,country
1,Чунцин,Китай
2,Шанхай,Китай
3,Пекин,Китай
4,Дели,Индия
5,Чэнду,Китай
6,Стамбул,Турция
7,Гуанчжоу,Китай
8,Карачи,Пакистан
9,Токио,Япония
10,Тяньцзинь,Китай
11,Лагос,Нигерия
12,Москва,Россия
13,Шэньчжэнь,Китай
14,Мумбаи,Индия
15,Сан-Паулу,Бразилия
16,Киншаса,Конго
17,Лахор,Пакистан
18,Ухань,Китай
19,Джакарта,Индонезия
20,Сеул,Южная Корея
21,Ченнаи,Индия
22,Лима,Перу
23,Каир,Египет
24,Ханчжоу,Китай
25,Нанкин,Китай
26,Мехико,Мексика
27,Тегеран,Иран
28,Хошимин,Вьетнам
29,Сиань,Китай
30,Шэньян,Китай
31,Дакка,Бангладеш
32,Нью-Йорк,США
33,Лондон,Соединенное Королевство
34,Бангалор,Индия
35,Дунгуань,Китай
36,Багдад,Ирак
37,Богота,Колумбия
38,Эр-Рияд,Саудовская Аравия
39,Гонконг,Китай
40,Фошань,Китай
41,Хайдарабад,Индия
42,Рио-де-Жанейро,Бразилия
43,Сучжоу,Китай
44,Дар-эс-Салам,Танзания
45,Бангкок,Таиланд
46,Ахмедабад,Индия
47,Сингапур,Сингапур
48,Санкт-Петербург,Россия
49,Мельбурн,Австралия
50,Сурат,Индия
